"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2020-02-01,"AIAE.Not Latino","16 to 24",0,0.150368691992679,69
2020-03-01,"AIAE.Not Latino","16 to 24",0.0139212269746392,0.0708711558887745,53
2020-04-01,"AIAE.Not Latino","16 to 24",0.037840612086487,0.642758449251271,35
2020-05-01,"AIAE.Not Latino","16 to 24",0.0375912354653936,0.365254924808901,42
2020-06-01,"AIAE.Not Latino","16 to 24",0.0237633629319383,0.226999960356337,37
2020-07-01,"AIAE.Not Latino","16 to 24",0.0945498471575573,0.0958600814061621,53
2020-08-01,"AIAE.Not Latino","16 to 24",0.0249653141507651,0.230458905382045,60
2020-09-01,"AIAE.Not Latino","16 to 24",0.0116493526955225,0.0786064329094072,66
2020-10-01,"AIAE.Not Latino","16 to 24",0.0159274566717567,0.248856930693293,67
2020-11-01,"AIAE.Not Latino","16 to 24",0.00454716644497169,0.259161081267829,60
2020-12-01,"AIAE.Not Latino","16 to 24",0.0701436341574491,0.222016024340285,55
2021-01-01,"AIAE.Not Latino","16 to 24",0.0139738348071698,0.113248040602849,66
2021-02-01,"AIAE.Not Latino","16 to 24",0.0183457738668491,0.244654297400943,59
2021-03-01,"AIAE.Not Latino","16 to 24",0.00936429245457284,0.13566001971224,48
2021-04-01,"AIAE.Not Latino","16 to 24",0,0.163250296380294,44
2021-05-01,"AIAE.Not Latino","16 to 24",0.00468692550980594,0.179757710148843,53
2021-06-01,"AIAE.Not Latino","16 to 24",0.0160679516925421,0.146025275852888,66
2020-02-01,"AIAE.Not Latino","25 to 34",0.020121034253817,0.152150912986084,108
2020-03-01,"AIAE.Not Latino","25 to 34",0.0587753288241424,0.13627437931209,90
2020-04-01,"AIAE.Not Latino","25 to 34",0.0739966392275979,0.179577679909682,93
2020-05-01,"AIAE.Not Latino","25 to 34",0.0197687645126272,0.150424209177706,85
2020-06-01,"AIAE.Not Latino","25 to 34",0.0424963548138612,0.138349811001659,82
2020-07-01,"AIAE.Not Latino","25 to 34",0,0.170741201251826,75
2020-08-01,"AIAE.Not Latino","25 to 34",0.0229823266935192,0.0927714865079139,89
2020-09-01,"AIAE.Not Latino","25 to 34",0.00899864731158426,0.0670048446993015,115
2020-10-01,"AIAE.Not Latino","25 to 34",0.0575550099654336,0.112972315995455,121
2020-11-01,"AIAE.Not Latino","25 to 34",0.0530937302155307,0.088686742390173,110
2020-12-01,"AIAE.Not Latino","25 to 34",0.103185296691192,0.119142556509591,94
2021-01-01,"AIAE.Not Latino","25 to 34",0.00799453786475204,0.107351529967165,96
2021-02-01,"AIAE.Not Latino","25 to 34",0.0184146792735117,0.0988605574628953,111
2021-03-01,"AIAE.Not Latino","25 to 34",0.0252190811987096,0.123319659012674,115
2021-04-01,"AIAE.Not Latino","25 to 34",0.0292982862662876,0.103555671966167,117
2021-05-01,"AIAE.Not Latino","25 to 34",0.0281812567082361,0.102725883284271,109
2021-06-01,"AIAE.Not Latino","25 to 34",0.0354293580021707,0.0780370020411917,100
