"month","race_eth2","educ","sex","unemprate","emprate","nsamp"
2020-02-01,"Black.Not Latino","< High School","Female",0.0489962460072346,0.0779341131906089,169
2020-03-01,"Black.Not Latino","< High School","Female",0.0627691934096126,0.079785320856281,152
2020-04-01,"Black.Not Latino","< High School","Female",0.115664045217622,0.322680726615708,133
2020-05-01,"Black.Not Latino","< High School","Female",0.0626032693047385,0.311573260776712,137
2020-06-01,"Black.Not Latino","< High School","Female",0.0205244598729888,0.185335610643867,118
2020-07-01,"Black.Not Latino","< High School","Female",0.0636805588656624,0.203845814397972,102
2020-08-01,"Black.Not Latino","< High School","Female",0.0505935121872513,0.237410170279432,125
2020-09-01,"Black.Not Latino","< High School","Female",0.0430135909445833,0.202588617407292,161
2020-02-01,"Black.Not Latino","Bachelors +","Female",0.0295412773012152,0.0238030379516284,1027
2020-03-01,"Black.Not Latino","Bachelors +","Female",0.0387551398446312,0.0173329119737259,865
2020-04-01,"Black.Not Latino","Bachelors +","Female",0.0547909615384883,0.0818354141281135,833
2020-05-01,"Black.Not Latino","Bachelors +","Female",0.0449272357094944,0.077758275699926,773
2020-06-01,"Black.Not Latino","Bachelors +","Female",0.055816370032043,0.0860983928472303,743
2020-07-01,"Black.Not Latino","Bachelors +","Female",0.0871965298063328,0.0882793478820919,764
2020-08-01,"Black.Not Latino","Bachelors +","Female",0.0468004376674146,0.0655144794215382,843
2020-09-01,"Black.Not Latino","Bachelors +","Female",0.0400789089553913,0.0464521890552351,924
2020-02-01,"Black.Not Latino","High School","Female",0.0254692549878664,0.0896176579417891,796
2020-03-01,"Black.Not Latino","High School","Female",0.0415199181121715,0.102797573086735,715
2020-04-01,"Black.Not Latino","High School","Female",0.0911304892999941,0.225954215059,611
2020-05-01,"Black.Not Latino","High School","Female",0.0441109163930451,0.243381377530534,577
2020-06-01,"Black.Not Latino","High School","Female",0.0576571744897886,0.169840972463582,518
2020-07-01,"Black.Not Latino","High School","Female",0.0667816443678664,0.192791474495099,584
2020-08-01,"Black.Not Latino","High School","Female",0.0634453946517713,0.162887391786002,645
2020-09-01,"Black.Not Latino","High School","Female",0.0420969068334186,0.135742508505184,814
2020-02-01,"Black.Not Latino","Some college","Female",0.02891808267745,0.0461698068733771,961
2020-03-01,"Black.Not Latino","Some college","Female",0.0391950995096747,0.0646392392631958,850
2020-04-01,"Black.Not Latino","Some college","Female",0.0916796343621442,0.182313416177328,715
2020-05-01,"Black.Not Latino","Some college","Female",0.0919226688506236,0.193907459816428,719
2020-06-01,"Black.Not Latino","Some college","Female",0.0589876134649423,0.164394126144891,662
2020-07-01,"Black.Not Latino","Some college","Female",0.0881376740925093,0.151188340120869,678
2020-08-01,"Black.Not Latino","Some college","Female",0.0658911053078614,0.136691342002273,750
2020-09-01,"Black.Not Latino","Some college","Female",0.0454564368549704,0.128262405599304,865
2020-02-01,"Black.Not Latino",NA,"Female",0,0,16
2020-03-01,"Black.Not Latino",NA,"Female",0,0,14
2020-04-01,"Black.Not Latino",NA,"Female",0.102220602572722,0.149202890123824,16
2020-05-01,"Black.Not Latino",NA,"Female",0,0.152522920968454,13
2020-06-01,"Black.Not Latino",NA,"Female",0.110966795102214,0.290631127115537,15
2020-07-01,"Black.Not Latino",NA,"Female",0.0666047680523772,0.171025913435283,8
2020-08-01,"Black.Not Latino",NA,"Female",0,0.469008643047423,13
2020-09-01,"Black.Not Latino",NA,"Female",0.0703706625786684,0.156425569496397,13
2020-02-01,"Black.Not Latino","< High School","Male",0.0205109175343077,0.181552415994381,193
2020-03-01,"Black.Not Latino","< High School","Male",0.0500196302431104,0.231258083676473,160
2020-04-01,"Black.Not Latino","< High School","Male",0.0844063292577712,0.235825465505376,125
2020-05-01,"Black.Not Latino","< High School","Male",0.0809066080617261,0.302772409854243,120
2020-06-01,"Black.Not Latino","< High School","Male",0.0524704346459662,0.303812731940411,113
2020-07-01,"Black.Not Latino","< High School","Male",0.0458339105965138,0.291391158863063,113
2020-08-01,"Black.Not Latino","< High School","Male",0.0274060540349273,0.266988797079086,127
2020-09-01,"Black.Not Latino","< High School","Male",0.01409349930564,0.156869390716593,170
2020-02-01,"Black.Not Latino","Bachelors +","Male",0.0175764552195972,0.0273342125904261,704
2020-03-01,"Black.Not Latino","Bachelors +","Male",0.0356563815886855,0.0243304689039068,598
2020-04-01,"Black.Not Latino","Bachelors +","Male",0.0743584103068576,0.092793005486302,537
2020-05-01,"Black.Not Latino","Bachelors +","Male",0.037710635497901,0.089275890386973,493
2020-06-01,"Black.Not Latino","Bachelors +","Male",0.0328107832766135,0.0894681154733815,460
2020-07-01,"Black.Not Latino","Bachelors +","Male",0.0446848817452214,0.113213005025857,491
2020-08-01,"Black.Not Latino","Bachelors +","Male",0.0322158105908301,0.0769830573011122,551
2020-09-01,"Black.Not Latino","Bachelors +","Male",0.0231540185812925,0.0779121255076338,593
2020-02-01,"Black.Not Latino","High School","Male",0.0216194034152664,0.100228545372722,833
